114.114.114.114,114DNS
114.114.115.115,114DNS
114.114.114.119,114DNS
114.114.115.119,114DNS
114.114.114.110,114DNS
114.114.115.110,114DNS
223.5.5.5,Ali
223.6.6.6,Ali
180.76.76.76,Baidu
119.29.29.29,DNSPod
119.28.28.28,DNSPod
182.254.118.118,DNSPod
182.254.116.116,DNSPod
1.2.4.8,CNNIC
210.2.4.8,CNNIC
112.124.47.27,oneDNS
114.215.126.16,oneDNS
101.226.4.6,DNSPi
218.30.118.6,DNSPi
123.125.81.6,DNSPi
140.207.198.6,DNSPi
208.67.222.222,OpenDNS
208.67.220.220,OpenDNS
208.67.222.123,OpenDNSFamily
208.67.220.123,OpenDNSFamily
123.207.137.88,DNSOne
202.141.162.123,USTC
202.141.178.13,USTC
202.38.93.153,USTC
101.132.183.99,PdoMo
119.23.248.241,FUNDNS
63.223.94.66,Camelyun
123.206.61.167,CuteDNS
119.29.105.234,CuteDNS
101.236.28.23,CuteDNS
120.77.212.84,CuteDNS
203.80.96.10,HK
8.8.8.8,Google
8.8.4.4,Google
4.2.2.1,MS
4.2.2.2,MS
9.9.9.9,IBM
8.26.56.26,Comodo
8.20.247.20,Comodo
156.154.70.1,Ultra
156.154.71.1,Ultra
199.85.126.10,Norton
199.85.127.10,Norton
1.1.1.1,CloudFlare
101.6.6.6,THU
